6:35 AM,7,SHELL-MH,20 bldg,IN,6
6:35 AM,14,SHELL-MH,3 wsq,IN,6
6:40 AM,6,SHELL-MH,3 wsq,IN,6
6:40 AM,9,SL1-MH,20 bldg,IN,6
6:40 AM,12,PRO-P-MH,20 bldg,IN,6
6:40 AM,1,MH-SL1,8 bldg,OUT,6
6:40 AM,3,MH- SHELL-PRO-P,20 bldg,OUT,6
6:40 AM,5,MH-SHELL-SM,8 bldg,OUT,6
6:45 AM,10,SHELL-MH,20 bldg,IN,6
7:05 AM,2,MH-SL1,20 bldg,OUT,7
7:05 AM,7,MH-SHELL,20 bldg,OUT,7
7:05 AM,14,MH-G4-PRO-P,3 wsq,OUT,7
7:10 AM,1,SL1-MH,8 bldg,IN,7
7:10 AM,5,SHELL-MH,8 bldg,IN,7
7:10 AM,6,MH-SHELL-SM,3 wsq,OUT,7
7:10 AM,8,MH-G4,8 bldg,OUT,7
7:10 AM,9,MH-SM,20 bldg,OUT,7
7:15 AM,4,MH-PRO-P,8 bldg,OUT,7
7:15 AM,10,MH-SHELL-SM,20 bldg,OUT,7
7:20 AM,3,PRO-P-MH,20 bldg,IN,7
7:20 AM,12,MH-PRO-P,20 bldg,OUT,7
7:35 AM,2,SL1-MH,20 bldg,IN,7
7:35 AM,7,SHELL-MH,20 bldg,IN,7
7:35 AM,14,PRO-P-MH,3 wsq,IN,7
7:40 AM,8,G4-MH,8 bldg,IN,7
7:40 AM,9,SHELL-MH,20 bldg,IN,7
7:40 AM,1,MH-SL1,8 bldg,OUT,7
7:40 AM,5,MH-SHELL-SM,8 bldg,OUT,7
8:05 AM,2,MH-SL1,20 bldg,OUT,8
8:05 AM,7,MH-SHELL,20 bldg,OUT,8
8:05 AM,14,MH-G4,3 wsq,OUT,8
8:10 AM,4,PRO-P-MH,8 bldg,IN,8
8:10 AM,6,SHELL-MH,3 wsq,IN,8
8:10 AM,10,PRO-P-MH,20 bldg,IN,8
8:10 AM,12,PRO-P-MH,20 bldg,IN,8
8:10 AM,3,MH-PRO-P,20 bldg,OUT,8
8:10 AM,9,MH-SHELL-PRO-P,20 bldg,OUT,8
8:20 AM,1,SL1-MH,8 bldg,IN,8
8:20 AM,5,SHELL-MH,8 bldg,IN,8
8:20 AM,8,MH-G4,8 bldg,OUT,8
8:35 AM,2,SL1-MH,20 bldg,IN,8
